Times	XFX-Tank-base 3.3	HX-TANK-base2.9	XJ-R1-Ñ¹Á¦	XJ-R2-Ñ¹Á¦	J-PTHC02A_P	J-HCXZ01Z_P	J-PTHC04A_P	J-PTHC05A_P	J-PTHC01A_P
8:30	3.011376381	4.130483627	1.769794941	4.130885601	22.31795692	23.4267807	21.85041237	23.30965233	21.0807476
8:35	2.977378368	4.130483627	1.726340771	4.120785236	21.85971642	23.02823067	21.39809036	22.90706253	20.6409874
8:40	2.943163872	4.130483627	1.681756258	4.113002777	21.65668869	22.73055458	21.19129181	22.62552834	20.45116234
8:45	2.908786058	4.130483627	1.635268211	4.107509613	20.43853378	21.91161919	19.97500801	21.55627441	19.25122833
8:50	2.873565912	4.130483627	1.588271379	4.096476555	20.94222641	22.32418442	20.46497726	21.99819565	19.74663734
8:55	2.838658333	4.130483627	1.540106416	4.090643883	21.28701019	22.48718643	20.77279091	22.19454956	20.03828239
9:00	2.803869724	4.130483627	1.482537627	4.085763454	21.25118065	22.44010925	20.7612896	22.15200996	20.04213333
9:05	2.76899004	4.130483627	1.433637142	4.076351166	21.99123001	22.73849678	21.49066162	22.43891525	20.71556091
9:10	2.734529495	4.107079506	1.394102812	4.068342209	20.51097488	22.88684273	20.32670784	22.55877686	19.77429008
9:15	2.70077467	4.063504696	1.356113553	4.0606637	18.96490479	22.25580597	18.91436386	21.87572289	18.48756409
9:20	2.667133093	4.019367695	1.32093215	4.054595947	18.4741497	21.70605087	18.41393852	21.30810928	17.99279404
9:25	2.633089542	3.974724531	1.282113194	4.047962189	18.54272652	21.69260025	18.48838043	21.29156876	18.05524063
9:30	2.599205494	3.930253983	1.247609973	4.036948204	18.98657036	22.23495674	18.94507599	21.81522369	18.54962158
9:35	2.565719128	3.886323452	1.218006611	4.026310921	17.89013672	21.22962189	17.84685326	20.81483459	17.39250755
9:40	2.531568289	3.841410398	1.177359581	4.021034718	18.61607933	22.05456734	18.57313538	21.64195061	18.13036346
9:45	2.498067141	3.79732728	1.141047239	4.014401436	18.47288322	21.87342644	18.44773674	21.43102646	18.06629753
9:50	2.464627981	3.753279209	1.093376756	4.009082794	17.50944901	20.89103127	17.48196793	20.44542885	17.08063126
9:55	2.430477858	3.708260059	1.048429012	4.001041412	17.51554489	20.91195679	17.47637177	20.44303322	17.07103729
10:00	2.396429062	3.663345098	1.013756156	3.990648508	18.65577888	21.71946335	18.62083244	21.27563858	18.18287849
10:05	2.396429062	3.619119167	0.979403615	3.982866287	20.92032242	24.10489655	20.87053299	23.67920876	20.48598671
10:10	2.396429062	3.577320337	0.959881008	3.981754303	20.00788879	23.11193275	19.95178795	22.73436928	19.55892944
10:15	2.396429062	3.534524679	0.923493207	3.970033169	18.52010727	21.6613884	18.47018051	21.27762222	18.08831406
10:20	2.396429062	3.490243673	0.901314199	3.961054087	17.33379745	20.34280205	17.27951431	19.97217178	16.8826561
10:25	2.396429062	3.444718122	0.87711817	3.952875614	17.75974083	20.676548	17.68557549	20.34978294	17.20608139
10:30	2.396429062	3.399555922	0.845630407	3.952941656	5.073255539	10.48661423	5.035817146	10.06250191	4.738200665
10:35	2.396429062	3.399555922	0.825486004	3.951151848	19.72667313	23.71003532	19.63155746	23.3200779	19.27114677
10:40	2.396429062	3.399555922	0.791793227	3.947920084	18.19572067	20.09381866	17.80200958	19.74749565	17.21668625
10:45	2.396429062	3.399555922	0.774946809	3.945328712	17.97398949	19.54508591	17.52264595	19.19809151	16.86435318
10:50	2.396429062	3.399555922	0.772025824	3.941456318	21.16531944	22.60654449	20.70185089	22.27819061	20.03181076
